# Source: GET https://external-api.kalshi.com/trade-api/v2/series/KXFED/markets/KXFED-26SEP-T4.75/candlesticks?start_ts=1781913600&end_ts=1789776000&period_interval=1440
# Market: KXFED-26SEP-T4.75 "Fed rate above 4.75% after Sep 16, 2026 meeting?" result=no, settlement_ts=2026-09-16T18:20:58.459351Z
# Retrieved 2026-09-19 (UTC). 72 daily bars, window 2026-06-20 -> 2026-09-16 (bars end at 04:00 UTC).
# Cross-check: last open_interest 208343.78 == market record OI; first bar ts 1781928000 vol 1.00 OI 317.00.
end_period_ts,price_open,price_high,price_low,price_close,price_mean,price_previous,volume,open_interest,yes_bid_close,yes_ask_close
1781928000,0.02,0.02,0.02,0.02,0.02,0.02,1.0,317.0,0.02,0.04
1782014400,,,,,,0.02,0.00,317.0,0.02,0.04
1782446400,0.02,0.02,0.02,0.02,0.02,0.02,113.0,317.0,0.01,0.04
1782964800,,,,,,0.02,0.00,317.0,0.01,0.04
1783051200,,,,,,0.02,0.00,317.0,0.01,0.04
1783137600,,,,,,0.02,0.00,317.0,0.01,0.04
1783224000,,,,,,0.02,0.00,317.0,0.01,0.04
1783310400,,,,,,0.02,0.00,317.0,0.01,0.04
1783396800,,,,,,0.02,0.00,317.0,0.01,0.04
1783483200,,,,,,0.02,0.00,317.0,0.01,0.02
1783569600,,,,,,0.02,0.00,317.0,0.01,0.02
1783656000,0.01,0.01,0.01,0.01,0.01,0.02,540.0,850.0,0.00,0.02
1783828800,,,,,,0.01,0.00,850.0,0.00,0.02
1783915200,,,,,,0.01,0.00,850.0,0.00,0.02
1784001600,,,,,,0.01,0.00,850.0,0.00,0.02
1784088000,,,,,,0.01,0.00,850.0,0.01,0.02
1784174400,0.01,0.01,0.01,0.01,0.01,0.01,6.0,856.0,0.00,0.01
1784260800,,,,,,0.01,0.00,856.0,0.00,0.01
1784347200,,,,,,0.01,0.00,856.0,0.00,0.01
1784433600,,,,,,0.01,0.00,856.0,0.00,0.01
1784520000,,,,,,0.01,0.00,856.0,0.00,0.01
1784606400,,,,,,0.01,0.00,856.0,0.00,0.01
1784692800,,,,,,0.01,0.00,856.0,0.00,0.01
1784779200,,,,,,0.01,0.00,856.0,0.00,0.01
1784865600,,,,,,0.01,0.00,856.0,0.00,0.02
1785038400,0.02,0.02,0.02,0.02,0.02,0.01,27.06,882.06,0.00,0.02
1785211200,,,,,,0.02,0.00,882.06,0.00,0.02
1785297600,0.02,0.02,0.02,0.02,0.02,0.02,3.0,885.06,0.00,0.01
1785384000,,,,,,0.02,0.00,885.06,0.00,0.01
1785470400,,,,,,0.02,0.00,885.06,0.00,0.01
1785556800,,,,,,0.02,0.00,885.06,0.00,0.01
1785643200,,,,,,0.02,0.00,885.06,0.00,0.01
1785729600,,,,,,0.02,0.00,885.06,0.00,0.01
1785816000,0.01,0.01,0.01,0.01,0.01,0.02,53.33,938.39,0.00,0.01
1785902400,,,,,,0.01,0.00,938.39,0.00,0.01
1785988800,,,,,,0.01,0.00,938.39,0.00,0.01
1786075200,,,,,,0.01,0.00,938.39,0.00,0.01
1786161600,,,,,,0.01,0.00,938.39,0.00,0.01
1786248000,,,,,,0.01,0.00,938.39,0.00,0.01
1786334400,,,,,,0.01,0.00,938.39,0.00,0.01
1786420800,0.01,0.01,0.01,0.01,0.01,0.01,100.0,1038.39,0.00,0.01
1786507200,0.01,0.01,0.01,0.01,0.01,0.01,33.33,1071.72,0.00,0.01
1786593600,,,,,,0.01,0.00,1071.72,0.00,0.01
1786680000,,,,,,0.01,0.00,1071.72,0.00,0.01
1786766400,,,,,,0.01,0.00,1071.72,0.00,0.01
1786852800,,,,,,0.01,0.00,1071.72,0.00,0.01
1786939200,,,,,,0.01,0.00,1071.72,0.00,0.01
1787025600,,,,,,0.01,0.00,1071.72,0.00,0.01
1787112000,,,,,,0.01,0.00,1071.72,0.00,0.01
1787198400,,,,,,0.01,0.00,1071.72,0.00,0.01
1787284800,,,,,,0.01,0.00,1071.72,0.00,0.01
1787371200,,,,,,0.01,0.00,1071.72,0.00,0.01
1787630400,,,,,,0.01,0.00,1071.72,0.00,0.01
1787716800,,,,,,0.01,0.00,1071.72,0.00,0.01
1787803200,,,,,,0.01,0.00,1071.72,0.00,0.01
1787889600,,,,,,0.01,0.00,1071.72,0.00,0.01
1787976000,,,,,,0.01,0.00,1071.72,0.00,0.01
1788148800,,,,,,0.01,0.00,1071.72,0.00,0.01
1788235200,,,,,,0.01,0.00,1071.72,0.00,0.01
1788321600,,,,,,0.01,0.00,1071.72,0.00,0.01
1788408000,0.01,0.11,0.01,0.01,0.045,0.01,99807.8,55960.48,0.00,0.01
1788494400,,,,,,0.01,0.00,55960.48,0.00,0.01
1788580800,0.01,0.04,0.01,0.01,0.0246,0.01,296371.69,207990.11,0.00,0.01
1788667200,,,,,,0.01,0.00,207990.11,0.00,0.01
1788926400,,,,,,0.01,0.00,207990.11,0.00,0.01
1789012800,,,,,,0.01,0.00,207990.11,0.00,0.01
1789099200,0.01,0.01,0.01,0.01,0.01,0.01,3.0,207993.11,0.00,0.01
1789185600,,,,,,0.01,0.00,207993.11,0.00,0.01
1789358400,,,,,,0.01,0.00,207993.11,0.00,0.01
1789444800,,,,,,0.01,0.00,207993.11,0.00,0.01
1789531200,,,,,,0.01,0.00,207993.11,0.00,0.01
1789617600,0.01,0.01,0.01,0.01,0.01,0.01,350.67,208343.78,0.00,1.0
