# Source: GET https://external-api.kalshi.com/trade-api/v2/series/KXFED/markets/KXFED-26SEP-T4.75/candlesticks?start_ts=1754006400&end_ts=1789776000&period_interval=1440
# CONTEXT ONLY - cold-open sample (first 27 bars returned by the API, market open 2025-08-06).
# Not used in backtest computations (zero volume, zero OI; quote-only evidence that the market
# opened pricing a "rate above 4.75%" outcome at ~4-6 cents).
# Bar 27 (1756785600) yes_ask low was truncated in the captured chunk; all other fields verified.
end_period_ts,price_open,price_high,price_low,price_close,price_mean,price_previous,volume,open_interest,yes_bid_close,yes_ask_close
1754539200,,,,,,,0.00,0.00,0.00,0.06
1754625600,,,,,,,0.00,0.00,0.00,0.05
1754712000,,,,,,,0.00,0.00,0.00,0.05
1754798400,,,,,,,0.00,0.00,0.00,0.05
1754884800,,,,,,,0.00,0.00,0.00,0.05
1754971200,,,,,,,0.00,0.00,0.00,0.05
1755057600,,,,,,,0.00,0.00,0.00,0.05
1755144000,,,,,,,0.00,0.00,0.00,0.05
1755230400,,,,,,,0.00,0.00,0.00,0.05
1755316800,,,,,,,0.00,0.00,0.00,0.05
1755403200,,,,,,,0.00,0.00,0.00,0.05
1755489600,,,,,,,0.00,0.00,0.00,0.05
1755576000,,,,,,,0.00,0.00,0.00,0.05
1755662400,,,,,,,0.00,0.00,0.00,0.05
1755748800,,,,,,,0.00,0.00,0.00,0.05
1755835200,,,,,,,0.00,0.00,0.00,0.05
1755921600,,,,,,,0.00,0.00,0.00,0.05
1756008000,,,,,,,0.00,0.00,0.00,0.05
1756094400,,,,,,,0.00,0.00,0.00,0.05
1756180800,,,,,,,0.00,0.00,0.00,0.06
1756267200,,,,,,,0.00,0.00,0.00,0.06
1756353600,,,,,,,0.00,0.00,0.00,0.06
1756440000,,,,,,,0.00,0.00,0.00,0.06
1756526400,,,,,,,0.00,0.00,0.00,0.06
1756612800,,,,,,,0.00,0.00,0.00,0.06
1756699200,,,,,,,0.00,0.00,0.00,0.06
1756785600,,,,,,,0.00,0.00,0.00,0.06
